Mã SV,Mã HP,Time slot
A935486289,W32H14E1,0
A935497713,V72AINE1,0
A935580945,V72AINE1,0
A935611009,W32H14E1,0
A935613069,V72AINE1,0
A935620964,R22204E1,0
A935644801,V72AINE1,0
A935745795,W32H14E1,0
A935860892,R22204E1,0
A936087539,V72AINE1,0
A936097000,R22204E1,0
A936123789,L3B021E1,0
A936186728,R12025E1,0
A936258025,V72AINE1,0
A936317355,R4A210E1,0
A936363190,R22204E1,0
A936363776,V41142E1,0
A936394448,R22204E1,0
A936400222,C81ICAE1,0
A936458533,V72AINE1,0
A936481416,W32H14E1,0
A936482114,V41142E1,0
A936598518,V72AINE1,0
A936607496,V41142E1,0
A936686262,R22204E1,0
A936692702,W32H14E1,0
A936757469,V72AINE1,0
A936920904,W32H14E1,0
A937000678,V72AINE1,0
A937322776,V72AINE1,0
A937475924,L3B021E1,0
A937641552,L3B021E1,0
A937782660,V72AINE1,0
A937787676,V72AINE1,0
A937822999,R4A210E1,0
A939833407,R4A210E1,0
A939966129,R13009E1,0
A940001419,R4A210E1,0
A940002483,V72AINE1,0
A940002793,R4A210E1,0
A940002807,R4A210E1,0
A940002818,N12403E1,0
A940002829,N12403E1,0
A940002830,N12403E1,0
A940011119,R4A210E1,0
A940011647,V41142E1,0
A940012013,V41142E1,0
A940012127,M11345E1,0
A940012633,C81ICAE1,0
A940012943,V41142E1,0
A940013010,C81ICAE1,0
A940013331,V41133E1,0
A940013489,M11345E1,0
A940014073,V41133E1,0
A940014442,V41142E1,0
A940014534,C81ICAE1,0
A940014833,M11345E1,0
A940014969,R4A210E1,0
A940014970,V41142E1,0
A940014981,V41133E1,0
A940015128,V41142E1,0
A940015542,V41142E1,0
A940016309,M11345E1,0
A940016424,C81ICAE1,0
A940017339,V41142E1,0
A940017960,V41142E1,0
A940019148,V41142E1,0
A940019311,V41142E1,0
A940019539,M11345E1,0
A940020764,M11345E1,0
A940021635,V41142E1,0
A940022012,V41133E1,0
A940022229,V41142E1,0
A940022632,V41133E1,0
A940022931,V41142E1,0
A940023396,M11345E1,0
A940023824,V41133E1,0
A940023916,V41133E1,0
A940025596,V41133E1,0
A940026331,V41133E1,0
A940026951,C81ICAE1,0
A940027235,M11345E1,0
A940027604,V41133E1,0
A940028553,V41142E1,0
A940029398,V41133E1,0
A940030073,V41133E1,0
A940031634,R4A210E1,0
A940031667,V41142E1,0
A940032088,V41133E1,0
A940032147,V41142E1,0
A940032158,V41142E1,0
A940033177,M11345E1,0
A940033890,V41133E1,0
A940034082,V41142E1,0
A940034392,M11345E1,0
A940034495,V41142E1,0
A940034761,V41142E1,0
A940035034,V41142E1,0
A940035067,M11345E1,0
A940035148,V41142E1,0
A940035160,V41142E1,0
A940038035,V41142E1,0
A940038677,V41142E1,0
A940041312,R4A210E1,0
A940042582,V41142E1,0
A940042711,L3B021E1,0
A940042722,V41142E1,0
A940042906,V13185E1,0
A940043176,V41142E1,0
A945073318,V41133E1,0
A945392208,V41133E1,0
A945787600,V41142E1,0
A945924467,V41133E1,0
A946035526,R4A210E1,0
A946864959,V41133E1,0
B913016754,M33042E1,0
B916070515,M33042E1,0
B916076137,M33042E1,0
B916117418,R12025E1,0
B916127576,M33042E1,0
B916313249,L83112E1,0
B916357139,M33042E1,0
B916748979,M33042E1,0
B917546138,M33042E1,0
B917675483,N12403E1,0
B920002135,L3B021E1,0
B920010277,L83112E1,0
B920016028,M33042E1,0
B920024230,L83120E1,0
B920025411,L13521E1,0
B920028261,M33042E1,0
B920028467,M33042E1,0
B920028641,L83112E1,0
B920029866,M33042E1,0
B920034103,M33042E1,0
B920045545,M33042E1,0
B920047701,M33042E1,0
B920059841,M33042E1,0
B920062117,M33042E1,0
B920063125,L83112E1,0
B920076789,L13521E1,0
B920077568,M33042E1,0
B920080731,M33042E1,0
B920092697,M33042E1,0
B920102424,M33042E1,0
B920105953,M33042E1,0
B920108150,L83112E1,0
B920112179,M33042E1,0
B920113143,M33042E1,0
B920114357,L83112E1,0
B920121034,M33042E1,0
B920123485,L83120E1,0
B920124529,M33042E1,0
B920137703,M33042E1,0
B920140507,L83112E1,0
B920144125,M33042E1,0
B920151190,M33042E1,0
B920157734,M33042E1,0
B920158812,M33042E1,0
B920170489,M33042E1,0
B920170663,M33042E1,0
B920173033,L13521E1,0
B920180802,L83112E1,0
B920186516,M33042E1,0
B920191325,M33042E1,0
B920191495,M33042E1,0
B920191727,M33042E1,0
B920196272,M33042E1,0
B920198900,M33042E1,0
B920204407,M33042E1,0
B920206375,M33042E1,0
B920210394,M33042E1,0
B920214565,M33042E1,0
B920217061,M33042E1,0
B920219559,L13521E1,0
B920220496,M33042E1,0
B920220991,L83112E1,0
B920222009,M33042E1,0
B920231458,M33042E1,0
B920231975,M33042E1,0
B920236589,L83120E1,0
B920238734,M33042E1,0
B920239270,M33042E1,0
B920243484,M33042E1,0
B920244735,M33042E1,0
B920245880,L83112E1,0
B920260654,M33042E1,0
B920268672,M33042E1,0
B920269392,L13521E1,0
B920271122,M33042E1,0
B920273931,L83112E1,0
B920285185,M33042E1,0
B920286274,L83112E1,0
B920303250,M33042E1,0
B920306859,L83112E1,0
B920307177,L83112E1,0
B920310203,M33042E1,0
B920331851,L83112E1,0
B920332892,M33042E1,0
B920338908,L83112E1,0
B920353347,L13521E1,0
B920355064,L83112E1,0
B920358629,M33042E1,0
B920374607,L83112E1,0
B920374799,M33042E1,0
B920375419,L13521E1,0
B920384053,M33042E1,0
B920387445,L83112E1,0
B920389092,M33042E1,0
B920392106,M33042E1,0
B920411245,L13521E1,0
B920426157,M33042E1,0
B920426788,M33042E1,0
B920438530,M33042E1,0
B920451056,N12403E1,0
B920453050,M33042E1,0
B920465710,L13521E1,0
B920466050,L13521E1,0
B920466522,L13521E1,0
B920468788,L83112E1,0
B920543993,L83112E1,0
B920552788,M33042E1,0
B920555147,M33042E1,0
B920555789,M33042E1,0
B920565146,M33042E1,0
B920567885,M33042E1,0
B920598661,M33042E1,0
B920598856,L13521E1,0
B920614628,M33042E1,0
B920631382,L83112E1,0
B920667646,L83112E1,0
B920691102,L83112E1,0
B920713909,L3B021E1,0
B920723403,M33042E1,0
B920773501,L3B021E1,0
B920803750,L13521E1,0
B920843734,L83112E1,0
B920969827,M33042E1,0
B921044725,L13521E1,0
B921085603,L83112E1,0
B921085625,V41142E1,0
B921204499,L13521E1,0
B921211914,L13521E1,0
B921213974,M33042E1,0
B921292223,M33042E1,0
B921312071,M33042E1,0
B921357072,M33042E1,0
B921449562,L83112E1,0
B921491583,L83112E1,0
B921493598,M33042E1,0
B921511766,L3B021E1,0
B921592145,M33042E1,0
B921667719,L3B021E1,0
B921697004,L13521E1,0
B921752093,L83112E1,0
B921793535,L13521E1,0
B921894120,M33042E1,0
B922012820,L83112E1,0
B922023099,L3B021E1,0
B922119635,L83112E1,0
B922218776,M33042E1,0
B922240021,L13521E1,0
B922307553,M33042E1,0
B922334928,M33042E1,0
B922436820,M33042E1,0
B922558627,M33042E1,0
B922561546,N12403E1,0
B922597110,M33042E1,0
B922613513,M33042E1,0
B922830327,L3B021E1,0
B922938508,V43103E1,0
B923216122,M33042E1,0
B925112912,M33042E1,0
B926067154,L83112E1,0
B926083718,L83120E1,0
B926110368,L83112E1,0
B926116544,L83112E1,0
B926137114,M33042E1,0
B926159219,L83112E1,0
B926181335,L83112E1,0
B926198355,M33042E1,0
B926229958,L83112E1,0
B926282355,L83112E1,0
B926583090,L83112E1,0
B927431303,L83112E1,0
B928208122,L3B021E1,0
B928208188,L3B021E1,0
B930178943,N12403E1,0
B930214610,C81ICAE1,0
B930444099,V72AINE1,0
B933498172,N12403E1,0
B935049958,V41142E1,0
B935113237,V72AINE1,0
B935146903,N12403E1,0
B935154528,N12403E1,0
B935207570,L3B021E1,0
B935231999,N12403E1,0
B935243073,N12403E1,0
B935252880,C81ICAE1,0
B935257276,L3B021E1,0
B935257782,N12403E1,0
B935279337,L3B021E1,0
B935344716,N12403E1,0
B935369904,L3B021E1,0
B935416910,N12403E1,0
B935478011,N12403E1,0
B935491146,N12403E1,0
B935511617,N12403E1,0
B935523908,V41142E1,0
B935580107,W32H14E1,0
B935622197,L3B021E1,0
B935701735,N12403E1,0
B935852772,L3B021E1,0
B935902088,N12403E1,0
B935999273,N12403E1,0
B936003528,V72AINE1,0
B936061322,N12403E1,0
B936103079,N12403E1,0
B936270429,N12403E1,0
B936353825,L3B021E1,0
B936642903,N12403E1,0
B936801876,L3B021E1,0
B936845342,L3B021E1,0
B937001538,N12403E1,0
B937002063,N12403E1,0
B937149896,L3B021E1,0
B937208687,V72AINE1,0
B937809808,L3B021E1,0
B938365190,M11345E1,0
B938488215,HG1J1BE1,0
B938565136,N12403E1,0
B938715351,N12403E1,0
B939830004,M33042E1,0
B939834541,M33042E1,0
B939968053,M33042E1,0
B940001408,M11345E1,0
B940012552,C81ICAE1,0
B940012596,M11345E1,0
B940012884,K1ATS1E1,0
B940012987,C71101E1,0
B940013043,M11345E1,0
B940013548,K1ATS1E1,0
B940013652,M11345E1,0
B940014109,C81ICAE1,0
B940014567,M11345E1,0
B940014648,V41142E1,0
B940014693,M11345E1,0
B940014785,K1ATS1E1,0
B940014844,K1ATS1E1,0
B940014903,K1ATS1E1,0
B940014925,K1ATS1E1,0
B940015058,K1ATS1E1,0
B940015221,M11345E1,0
B940015472,C81ICAE1,0
B940015586,K1ATS1E1,0
B940015612,K1ATS1E1,0
B940015807,K1ATS1E1,0
B940015829,M11345E1,0
B940016103,K1ATS1E1,0
B940016882,M11345E1,0
B940016985,K1ATS1E1,0
B940017199,M11345E1,0
B940017269,M11345E1,0
B940017340,K1ATS1E1,0
B940017786,K1ATS1E1,0
B940017797,M11345E1,0
B940017937,C81ICAE1,0
B940018129,K1ATS1E1,0
B940018613,V41142E1,0
B940018934,V41142E1,0
B940019115,M11345E1,0
B940019300,C81ICAE1,0
B940019849,K1ATS1E1,0
B940020351,C81ICAE1,0
B940020889,K1ATS1E1,0
B940021152,C81ICAE1,0
B940021233,M11345E1,0
B940021727,M11345E1,0
B940022078,M11345E1,0
B940022126,M11345E1,0
B940022207,C81ICAE1,0
B940022757,V41142E1,0
B940023101,C81ICAE1,0
B940023204,K1ATS1E1,0
B940023765,K1ATS1E1,0
B940023949,M11345E1,0
B940024371,M11345E1,0
B940024843,M11345E1,0
B940025079,K1ATS1E1,0
B940025275,K1ATS1E1,0
B940025758,M11345E1,0
B940025921,M11345E1,0
B940026021,M11345E1,0
B940026179,K1ATS1E1,0
B940026593,C81ICAE1,0
B940026663,K1ATS1E1,0
B940027213,K1ATS1E1,0
B940027637,K1ATS1E1,0
B940027648,M11345E1,0
B940028508,V41142E1,0
B940028542,M11345E1,0
B940028667,C81ICAE1,0
B940028782,V41142E1,0
B940028896,M11345E1,0
B940028933,M11345E1,0
B940029022,K1ATS1E1,0
B940029505,K1ATS1E1,0
B940029664,M11345E1,0
B940029675,K1ATS1E1,0
B940029826,K1ATS1E1,0
B940029837,R4A210E1,0
B940029882,M11345E1,0
B940029996,M11345E1,0
B940030084,C81ICAE1,0
B940030224,M11345E1,0
B940030453,M11345E1,0
B940030486,K1ATS1E1,0
B940031014,K1ATS1E1,0
B940031232,M11345E1,0
B940031357,K1ATS1E1,0
B940031483,M11345E1,0
B940031852,M11345E1,0
B940031911,M11345E1,0
B940032033,K1ATS1E1,0
B940032066,M11345E1,0
B940032169,M11345E1,0
B940032170,M11345E1,0
B940032354,K1ATS1E1,0
B940032664,K1ATS1E1,0
B940032745,M11345E1,0
B940032918,K1ATS1E1,0
B940033166,M11345E1,0
B940033432,M11345E1,0
B940033454,M11345E1,0
B940033959,V41142E1,0
B940034820,C81ICAE1,0
B940034875,K1ATS1E1,0
B940035735,K1ATS1E1,0
B940035757,K1ATS1E1,0
B940036097,M11345E1,0
B940036189,K1ATS1E1,0
B940036318,V41142E1,0
B940036422,K1ATS1E1,0
B940036455,C81ICAE1,0
B940036961,K1ATS1E1,0
B940037061,M11345E1,0
B940037186,K1ATS1E1,0
B940037223,M11345E1,0
B940037496,V41142E1,0
B940037544,K1ATS1E1,0
B940037647,M11345E1,0
B940037658,K1ATS1E1,0
B940037795,C81ICAE1,0
B940038057,K1ATS1E1,0
B940038091,K1ATS1E1,0
B940038208,M11345E1,0
B940038378,M11345E1,0
B940038529,K1ATS1E1,0
B940043039,L3B021E1,0
B940043062,V72AINE1,0
B940043143,M13468E1,0
B940043187,M11345E1,0
B940044922,N12403E1,0
B940045066,N12403E1,0
B940045952,N12403E1,0
B940046007,N12403E1,0
B940046269,N12403E1,0
B940046384,N12403E1,0
B940046476,M11345E1,0
B940046535,N12403E1,0
B940046579,N12403E1,0
B940046616,N12403E1,0
B940046775,N12403E1,0
B940047107,N12403E1,0
B940047129,N12403E1,0
B940047255,M11345E1,0
B940047381,C81ICAE1,0
B940047417,M11345E1,0
B940047428,N12403E1,0
B940047451,V41142E1,0
B940047543,V41142E1,0
B940047576,V41142E1,0
B940047716,N12403E1,0
B940047808,K1ATS1E1,0
B940047819,M11345E1,0
B940047820,M11345E1,0
B940047831,M11345E1,0
B940047897,M11345E1,0
B940047990,K1ATS1E1,0
B940048001,K1ATS1E1,0
B940048067,N12403E1,0
B940048104,L3B021E1,0
B940048115,N12403E1,0
B940048137,N12403E1,0
B940048322,N12403E1,0
B940048377,N12403E1,0
B940048388,N12403E1,0
B940048425,C81ICAE1,0
B940048447,N12403E1,0
B940048470,N12403E1,0
B940048506,N12403E1,0
B940048540,L3B021E1,0
B940050428,C82DUAE1,0
B940050440,C82DUAE1,0
B940050451,C82DUAE1,0
B940050462,C82DUAE1,0
B940051193,K1ATS1E1,0
B940052259,C82DUAE1,0
B940055434,C82DUAE1,0
B940055467,C82DUAE1,0
B940055490,C82DUAE1,0
B940056165,K1ATS1E1,0
D914094157,F13P01E1,0
D914278997,L83120E1,0
D916107453,F13P01E1,0
D916266602,F13P01E1,0
D916346351,F13P01E1,0
D916502005,C42307E1,0
D916506139,F13P01E1,0
D916624868,C81ICAE1,0
D916697840,F13P01E1,0
D917324422,F13P01E1,0
D920024687,L83120E1,0
D920028847,F13P01E1,0
D920056297,L83120E1,0
D920064753,L83120E1,0
D920068692,L83120E1,0
D920072699,F13P01E1,0
D920073401,F13P01E1,0
D920074062,F13P01E1,0
D920079311,F13P01E1,0
D920080306,F13P01E1,0
D920083927,F13P01E1,0
D920104912,F13P01E1,0
D920108437,F13P01E1,0
D920130656,F321T2E1,0
D920139084,F13P01E1,0
D920139903,F13P01E1,0
D920152441,N12403E1,0
D920155109,F13P01E1,0
D920156070,F13P01E1,0
D920156829,F13P01E1,0
D920167168,F13P01E1,0
D920168914,F13P01E1,0
D920172368,F13P01E1,0
D920182275,F13P01E1,0
D920182530,F13P01E1,0
D920196113,F13P01E1,0
D920199778,F13P01E1,0
D920206032,F13P01E1,0
D920215724,F13P01E1,0
D920220418,N12403E1,0
D920228610,F13P01E1,0
D920242786,F13P01E1,0
D920245949,F13P01E1,0
D920250507,F13P01E1,0
D920257584,F13P01E1,0
D920266391,F13P01E1,0
D920268155,F13P01E1,0
D920270745,F13P01E1,0
D920272820,F13P01E1,0
D920279139,F13P01E1,0
D920283491,F13P01E1,0
D920288647,F13P01E1,0
D920298613,F13P01E1,0
D920300352,F13P01E1,0
D920303847,L13521E1,0
D920314441,F13P01E1,0
D920343005,F13P01E1,0
D920348228,F13P01E1,0
D920353794,F13P01E1,0
D920365694,C81ICAE1,0
D920370333,J5CCRME1,0
D920372005,F13P01E1,0
D920372681,F13P01E1,0
D920387467,F13P01E1,0
D920397341,F13P01E1,0
D920446890,F13P01E1,0
D920472877,F13P01E1,0
D920484227,F13P01E1,0
D920491591,F13P01E1,0
D920527454,C81ICAE1,0
D920537637,C42307E1,0
D920559330,F13P01E1,0
D920574137,F13P01E1,0
D920582589,F13P01E1,0
D920593138,F13P01E1,0
D920597446,F13P01E1,0
D920600252,F13P01E1,0
D920603068,F13P01E1,0
D920610206,F321T2E1,0
D920613713,F13P01E1,0
D920636804,F311B1E1,0
D920680232,F13P01E1,0
D920682513,F13P01E1,0
D920693793,F13P01E1,0
D920765218,F13P01E1,0
D920766064,F13P01E1,0
D920768208,F13P01E1,0
D920787003,F13P01E1,0
D920799420,F13P01E1,0
D920848326,F13P01E1,0
D920849378,F13P01E1,0
D920852666,F13P01E1,0
D920856402,J5CCRME1,0
D920872815,F13P01E1,0
D920887163,F321T2E1,0
D920887912,F13P01E1,0
D920929762,F13P01E1,0
D920937170,F13P01E1,0
D920945038,F13P01E1,0
D920968473,F13P01E1,0
D921020154,F13P01E1,0
D921024679,F13P01E1,0
D921024716,F13P01E1,0
D921074102,F13P01E1,0
D921082772,F13P01E1,0
D921096528,F13P01E1,0
D921098913,F13P01E1,0
D921132398,F13P01E1,0
D921151023,F13P01E1,0
D921173025,F13P01E1,0
D921214465,J5CCRME1,0
D921316921,F13P01E1,0
D921355861,F13P01E1,0
D921461438,C42307E1,0
D921509512,F13P01E1,0
D921510806,F13P01E1,0
D921539070,F13P01E1,0
D921563732,F13P01E1,0
D921583501,F13P01E1,0
D921587222,L83120E1,0
D921596523,F13P01E1,0
D921601595,F13P01E1,0
D921740919,L83120E1,0
D921840231,F13P01E1,0
D921851639,F13P01E1,0
D921923338,F13P01E1,0
D921980755,L83120E1,0
D922221868,F13P01E1,0
D922329740,J5CCRME1,0
D922470145,F13P01E1,0
D922486962,F13P01E1,0
D922535259,F13P01E1,0
D922642742,F13P01E1,0
D923156828,L83112E1,0
D923556420,F13P01E1,0
D926139727,C81ICAE1,0
D926542905,F13P01E1,0
D926904217,F13P01E1,0
D930410706,F321T2E1,0
D930830764,B12301E1,0
D935002816,F321T2E1,0
D935025790,C42307E1,0
D935031126,F321T2E1,0
D935037472,C42307E1,0
D935044975,F321T2E1,0
D935047437,C81ICAE1,0
D935060090,C42307E1,0
D935063024,C42307E1,0
D935099872,F321T2E1,0
D935101315,F321T2E1,0
D935103478,C42307E1,0
D935107498,F321T2E1,0
D935127692,F321T2E1,0
D935130902,F321T2E1,0
D935136270,F321T2E1,0
D935157345,F321T2E1,0
D935166336,F321T2E1,0
D935187054,C82DUAE1,0
D935200870,C42307E1,0
D935201512,F321T2E1,0
D935206942,F321T2E1,0
D935213135,F321T2E1,0
D935214372,F321T2E1,0
D935216206,F321T2E1,0
D935235735,F321T2E1,0
D935241356,F321T2E1,0
D935244195,C42307E1,0
D935246177,F321T2E1,0
D935250956,F321T2E1,0
D935261273,F321T2E1,0
D935264920,C42307E1,0
D935276587,F321T2E1,0
D935279821,F311B1E1,0
D935280470,F321T2E1,0
D935281112,F321T2E1,0
D935289462,C82DUAE1,0
D935295935,F321T2E1,0
D935303012,F321T2E1,0
D935305496,F321T2E1,0
D935307272,F321T2E1,0
D935308224,B12301E1,0
D935317879,F321T2E1,0
D935326446,F321T2E1,0
D935332481,F321T2E1,0
D935332757,F321T2E1,0
D935341232,F321T2E1,0
D935347496,C42307E1,0
D935360794,F321T2E1,0
D935378733,F321T2E1,0
D935390366,C42307E1,0
D935393231,C42307E1,0
D935404054,F321T2E1,0
D935448726,F321T2E1,0
D935456709,F321T2E1,0
D935459799,F321T2E1,0
D935466731,C42307E1,0
D935474079,F321T2E1,0
D935474884,F321T2E1,0
D935495650,C42307E1,0
D935497964,C42307E1,0
D935514102,F321T2E1,0
D935520468,B12301E1,0
D935525315,F321T2E1,0
D935535118,C81ICAE1,0
D935541588,C81ICAE1,0
D935552872,F321T2E1,0
D935562790,F321T2E1,0
D935568541,F321T2E1,0
D935614712,F321T2E1,0
D935627424,B12301E1,0
D935629680,F321T2E1,0
D935701399,C42307E1,0
D935714931,F321T2E1,0
D935751833,C42307E1,0
D935774511,F321T2E1,0
D935778759,B12301E1,0
D935789331,F321T2E1,0
D935821332,F321T2E1,0
D935870639,F321T2E1,0
D935872987,F321T2E1,0
D935873043,F311B1E1,0
D935914221,F321T2E1,0
D935935466,F321T2E1,0
D935984729,F321T2E1,0
D935990649,C71101E1,0
D936002990,C42307E1,0
D936009988,F321T2E1,0
D936028004,B12301E1,0
D936050762,B12301E1,0
D936052973,C81ICAE1,0
D936113942,F321T2E1,0
D936132714,F321T2E1,0
D936156709,F321T2E1,0
D936185008,F321T2E1,0
D936206288,C42307E1,0
D936254658,F311B1E1,0
D936318008,B12301E1,0
D936369941,F321T2E1,0
D936377359,F321T2E1,0
D936394404,F311B1E1,0
D936428835,F321T2E1,0
D936431053,F321T2E1,0
D936445647,B12301E1,0
D936456883,V72AINE1,0
D936509503,F321T2E1,0
D936536037,C42307E1,0
D936542832,F311B1E1,0
D936568603,C42307E1,0
D936597326,F321T2E1,0
D936601450,F321T2E1,0
D936632812,B12301E1,0
D936634872,F321T2E1,0
D936667870,C42307E1,0
D936688576,F321T2E1,0
D936743668,C42307E1,0
D936770310,F321T2E1,0
D936847379,F321T2E1,0
D936869968,F321T2E1,0
D936892461,C42307E1,0
D936923765,F321T2E1,0
D936925862,B12301E1,0
D936938079,F321T2E1,0
D936987309,F321T2E1,0
D936995201,F321T2E1,0
D936996035,C82DUAE1,0
D937071807,F321T2E1,0
D937102709,F321T2E1,0
D937105102,C42307E1,0
D937125513,C82DUAE1,0
D937136151,C42307E1,0
D937220070,B12301E1,0
D937231423,C42307E1,0
D937260205,B12301E1,0
D937506103,F311B1E1,0
D937555581,C42307E1,0
D937604926,C42307E1,0
D937624496,V72AINE1,0
D937658974,F321T2E1,0
D938059967,F321T2E1,0
D938087502,F321T2E1,0
D938134747,B12301E1,0
D938142328,C42307E1,0
D938155982,F321T2E1,0
D938218379,F321T2E1,0
D938235516,F321T2E1,0
D938280321,C42307E1,0
D938475363,C42307E1,0
D938518659,B12301E1,0
D938902478,C42307E1,0
D939833050,C42307E1,0
D939833131,B12301E1,0
D939833153,F321T2E1,0
D939833234,F321T2E1,0
D940011201,C71101E1,0
D940011267,V41142E1,0
D940011360,C71101E1,0
D940011625,C71101E1,0
D940011658,C71101E1,0
D940011728,C71101E1,0
D940011795,C71101E1,0
D940011887,F311B1E1,0
D940011902,F311B1E1,0
D940012035,C71101E1,0
D940012149,C71101E1,0
D940012161,C71101E1,0
D940012183,C71101E1,0
D940012390,C71101E1,0
D940012482,C71101E1,0
D940013032,F311B1E1,0
D940013054,C71101E1,0
D940013135,C71101E1,0
D940013180,C71101E1,0
D940013412,C71101E1,0
D940013490,C71101E1,0
D940013515,C71101E1,0
D940013618,C71101E1,0
D940013733,C71101E1,0
D940013836,C71101E1,0
D940013906,C71101E1,0
D940013940,C71101E1,0
D940014006,C71101E1,0
D940014062,C71101E1,0
D940014590,C81ICAE1,0
D940014604,C71101E1,0
D940014729,F311B1E1,0
D940014958,C71101E1,0
D940014992,C71101E1,0
D940015162,C71101E1,0
D940015782,C71101E1,0
D940015874,C71101E1,0
D940016000,C71101E1,0
D940016158,C71101E1,0
D940016181,C71101E1,0
D940016228,C71101E1,0
D940016239,C71101E1,0
D940016240,C71101E1,0
D940016295,C71101E1,0
D940016354,C71101E1,0
D940016446,C81ICAE1,0
D940016468,C71101E1,0
D940016479,C71101E1,0
D940016572,C71101E1,0
D940017177,C71101E1,0
D940017373,C71101E1,0
D940017421,C71101E1,0
D940017465,C71101E1,0
D940017535,C71101E1,0
D940017568,C71101E1,0
D940017672,C71101E1,0
D940017889,C71101E1,0
D940017904,C71101E1,0
D940018233,C71101E1,0
D940018288,F311B1E1,0
D940018325,C71101E1,0
D940018543,C71101E1,0
D940018635,C81ICAE1,0
D940018738,C71101E1,0
D940018783,C71101E1,0
D940018956,C71101E1,0
D940018978,C71101E1,0
D940019171,C71101E1,0
D940019469,F311B1E1,0
D940019654,F311B1E1,0
D940019735,C71101E1,0
D940020100,C71101E1,0
D940020133,C71101E1,0
D940020362,F311B1E1,0
D940020409,F311B1E1,0
D940020557,C71101E1,0
D940020661,C71101E1,0
D940020823,C71101E1,0
D940020867,C71101E1,0
D940020890,C71101E1,0
D940020904,C71101E1,0
D940020948,C71101E1,0
D940021015,C71101E1,0
D940021118,C71101E1,0
D940021185,C71101E1,0
D940021255,C71101E1,0
D940021347,F311B1E1,0
D940021369,C71101E1,0
D940021392,C71101E1,0
